# '-z --flow-network /tmp/a29788-infomap.net /tmp' -> 300 nodes partitioned in 0s from codelength 7.191234930 in one level to codelength 7.191234930 in 2 levels.
# path flow name node:
1:47 0.00563161 "speech_recognition-error_rate-word_error-automatic_speech-language_model-" 261
1:48 0.00555906 "information_retrieval-relevant_documents-query_expansion-query_terms-average_precision-" 30
1:49 0.00546496 "word_sense-sense_disambiguation-word_senses-target_word-senses_word-" 135
1:50 0.00540724 "semantic_relations-lexical_resources-wordnet_synsets-lexical_semantic-lexical_resource-" 53
1:51 0.00529574 "domain_ontology-set_concepts-concepts_relations-relations_concepts-concept_concept-" 205
1:52 0.00527024 "dialogue_system-spoken_dialogue-dialogue_systems-dialogue_manager-speech_recognition-" 165
1:53 0.00520916 "decision_tree-training_corpus-decision_trees-machine_learning-learning_algorithm-" 121
1:54 0.00518366 "semi_supervised-unlabeled_data-labeled_data-supervised_learning-training_data-" 178
1:55 0.00511585 "random_walk-directed_graph-graph_nodes-nodes_graph-graph_representation-" 224
1:56 0.00501938 "phrase_pairs-phrase_pair-word_phrase-words_phrases-phrase_extraction-" 257
1:57 0.0048725 "language_generation-text_generation-generation_system-natural_language-generation_process-" 79
1:58 0.00476753 "domain_specific-domain_adaptation-target_domain-domain_data-source_domain-" 291
1:59 0.00468036 "vector_space-semantic_space-latent_semantic-word_vectors-distributional_semantics-" 28
1:60 0.00456491 "clustering_algorithm-number_clusters-sense_induction-clustering_algorithms-hierarchical_clustering-" 153
1:61 0.00444353 "beam_search-search_space-search_algorithm-language_model-word_lattice-" 177
1:62 0.00441823 "term_extraction-candidate_terms-domain_specific-multi_word-word_terms-" 199
1:63 0.00438541 "web_pages-search_engine-web_search-search_engines-search_results-" 297
1:64 0.00436228 "word_segmentation-chinese_word-chinese_language-english_chinese-chinese_english-" 269
1:65 0.00426305 "semantic_role-semantic_roles-role_labeling-predicate_argument-argument_structure-" 60
1:66 0.0042413 "morphological_analysis-word_forms-morphological_analyzer-word_form-inflected_forms-" 57
1:67 0.00408236 "feature_structures-feature_structure-lexical_entries-unification_grammar-lexical_rules-" 216
1:68 0.00404381 "japanese_english-english_japanese-morphological_analysis-japanese_sentences-japanese_sentence-" 74
1:69 0.00403294 "question_answering-question_answer-qa_system-answer_question-correct_answer-" 142
1:70 0.00401495 "attribute_values-spatial_relations-set_attributes-set_objects-attribute_pairs-" 160
1:71 0.00390939 "set_constraints-constraint_satisfaction-optimality_theory-semantic_constraints-constraints_constraints-" 150
1:72 0.00380383 "event_type-event_detection-event_types-event_mentions-event_event-" 190
1:73 0.00369214 "word_alignment-sentence_alignment-alignment_algorithm-parallel_texts-sentence_pairs-" 18
1:74 0.00368522 "word_order-free_word-finite_verb-english_german-order_languages-" 201
1:75 0.00366565 "user_satisfaction-data_collection-subjects_asked-significant_difference-task_success-" 263
1:76 0.00366466 "anaphora_resolution-noun_phrases-reference_resolution-noun_phrase-pronoun_resolution-" 123
1:77 0.00365418 "rhetorical_relations-rhetorical_structure-text_structure-discourse_structure-cue_phrases-" 197
1:78 0.00363856 "object_oriented-programming_language-software_engineering-data_structures-programming_languages-" 9
1:79 0.00360199 "machine_translation-statistical_machine-chris_dyer-callison_burch-open_source-" 237
1:80 0.00350177 "lexicon_entries-words_lexicon-word_lexicon-lexicon_words-unknown_words-" 41
1:81 0.00349781 "error_correction-error_detection-spelling_correction-error_types-spelling_errors-" 200
1:82 0.00341913 "spoken_language-turn_taking-face_face-prosodic_features-filled_pauses-" 209
1:83 0.00340194 "topic_model-topic_models-number_topics-topic_distribution-latent_dirichlet-" 47
1:84 0.00332958 "morphological_features-morphological_information-morphologically_rich-gender_number-morpho_syntactic-" 107
1:85 0.00311569 "type_type-type_system-situation_semantics-intensional_logic-type_theory-" 87
1:86 0.00307082 "finite_state-initial_state-final_state-number_states-state_state-" 242
1:87 0.00306904 "shallow_parsing-memory_learning-kim_sang-tjong_kim-text_chunking-" 23
1:88 0.00290951 "document_summarization-multi_document-sentence_compression-text_summarization-sentence_extraction-" 252
1:89 0.00280355 "penn_treebank-grammatical_functions-phrase_structure-treebank_annotation-annotation_scheme-" 206
1:90 0.00280177 "main_clause-subordinate_clause-relative_clause-subordinate_clauses-clause_boundaries-" 58
1:91 0.00278457 "dependency_parsing-conll_shared-joakim_nivre-dependency_parsers-shared_task-" 254
1:92 0.00276322 "speaker_hearer-grosz_sidner-intentional_structure-speech_acts-discourse_structure-" 282
1:93 0.00275788 "semantic_classes-semantic_class-schulte_im-im_walde-gold_standard-" 2
1:94 0.00272013 "information_extraction-message_understanding-system_muc-domain_specific-recall_precision-" 220
1:95 0.00271182 "lexical_chains-lexical_cohesion-text_segmentation-topic_segmentation-segment_boundaries-" 243
1:96 0.00261417 "perceptron_algorithm-weight_vector-michael_john-local_features-john_collins-" 210
1:97 0.00260923 "task_oriented-dialogue_acts-dialogue_act-user_satisfaction-human_human-" 110
1:98 0.00258471 "neural_network-neural_networks-hidden_layer-semantic_network-output_layer-" 137
1:99 0.00257898 "wikipedia_articles-wikipedia_article-entity_linking-entity_disambiguation-english_wikipedia-" 273
1:100 0.00255447 "np_np-wide_coverage-clark_curran-categorial_grammar-combinatory_categorial-" 20
1:101 0.00251533 "discourse_relations-discourse_structure-discourse_relation-discourse_connectives-discourse_markers-" 163
1:102 0.00251058 "positive_negative-sentiment_analysis-semantic_orientation-polarity_classification-janyce_wiebe-" 214
1:103 0.00245325 "machine_translation-mt_evaluation-automatic_evaluation-human_judgments-evaluation_metrics-" 232
1:104 0.00244614 "linear_programming-integer_linear-joint_model-joint_inference-dual_decomposition-" 5
1:105 0.00235204 "finite_state-state_transducers-regular_expression-regular_expressions-state_transducer-" 149
1:106 0.00234888 "tree_string-machine_translation-target_side-source_side-hierarchical_phrase-" 17
1:107 0.00233049 "phonological_rules-syllable_structure-vowel_harmony-consonant_vowel-syllable_boundaries-" 52
1:108 0.0022955 "word_segmentation-word_boundaries-word_boundary-segmentation_model-segmentation_accuracy-" 264
1:109 0.00227178 "problem_solving-dr_smith-context_model-action_action-plan_recognition-" 217
1:110 0.00224035 "pp_attachment-prepositional_phrase-phrase_attachment-prepositional_phrases-structural_ambiguity-" 130
1:111 0.00223086 "comparable_corpora-parallel_corpora-bilingual_lexicon-translation_pairs-parallel_corpus-" 247
1:112 0.00222196 "authorship_attribution-social_network-social_media-social_networks-blog_posts-" 83
1:113 0.00217096 "edit_distance-levenshtein_distance-edit_operations-string_similarity-insertion_deletion-" 55
1:114 0.00214585 "sentiment_classification-sentiment_analysis-positive_negative-aspect_term-aspect_terms-" 46
1:115 0.00214309 "gibbs_sampling-gibbs_sampler-pitman_yor-bayesian_model-dirichlet_process-" 296
1:116 0.00211798 "frame_elements-semantic_roles-frame_semantic-frame_element-lexical_units-" 16
1:117 0.00209505 "language_acquisition-language_learning-child_language-child_directed-word_learning-" 143
1:118 0.00208655 "cross_lingual-target_language-parallel_corpus-source_language-cross_language-" 1
1:119 0.00201202 "logical_form-discourse_representation-discourse_referents-quantifier_scope-wide_scope-" 138
1:120 0.00194046 "hedge_cues-clinical_text-hedge_cue-negation_cue-bioscope_corpus-" 73
1:121 0.00193295 "biomedical_domain-genia_corpus-gene_protein-protein_names-text_mining-" 155
1:122 0.00184399 "spoken_language-speech_recognition-error_rate-speaker_independent-natural_language-" 166
1:123 0.00183272 "computational_linguistics-association_computational-annual_meeting-international_conference-proceedings_ofthe-" 295
1:124 0.0018094 "social_media-sentiment_analysis-twitter_data-positive_negative-analysis_twitter-" 188
1:125 0.00179279 "coreference_resolution-mention_detection-conll_shared-entity_mention-mention_pair-" 241
1:126 0.00177085 "temporal_expressions-temporal_relations-temporal_relation-temporal_information-temporal_expression-" 91
1:127 0.00176788 "distributional_similarity-similar_words-semantic_drift-word_association-dekang_lin-" 43
1:128 0.00168921 "sentence_boundary-sentence_boundaries-punctuation_marks-boundary_detection-error_rate-" 185
1:129 0.00168268 "coreference_resolution-pronoun_resolution-noun_phrases-noun_phrase-machine_learning-" 97
1:130 0.0016552 "callison_burch-paraphrase_generation-parallel_corpora-chris_callison-bilingual_parallel-" 272
1:131 0.00160776 "word_forms-swiss_german-english_russian-standard_german-russian_english-" 248
1:132 0.001604 "data_base-natural_language-language_interface-language_interfaces-query_language-" 134
1:133 0.00158522 "inside_algorithm-dop_model-parse_forest-data_oriented-probable_parse-" 288
1:134 0.00158325 "false_positives-false_positive-false_negatives-true_positives-false_negative-" 3
1:135 0.00156032 "textual_entailment-recognizing_textual-text_hypothesis-inference_rules-entailment_relations-" 54
1:136 0.00149943 "arabic_english-standard_arabic-english_arabic-arabic_words-nizar_habash-" 82
1:137 0.00149389 "indian_languages-english_hindi-hindi_urdu-hindi_english-english_czech-" 286
1:138 0.00146859 "reading_level-grade_level-readability_assessment-sentence_length-average_number-" 290
1:139 0.00144388 "dialog_system-dialog_systems-spoken_dialog-dialog_state-dialog_manager-" 276
1:140 0.00144171 "constraint_grammar-lob_corpus-disambiguation_rules-pasi_tapanainen-atro_voutilainen-" 8
1:141 0.00143854 "recall_precision-joint_venture-slot_filling-slot_fillers-slot_filler-" 262
1:142 0.00142905 "multiword_expressions-multi_word-word_expressions-verb_particle-verb_noun-" 157
1:143 0.00140751 "reordering_model-word_order-reordering_rules-reordering_models-phrase_reordering-" 84
1:144 0.0013996 "tree_adjoining-elementary_trees-elementary_tree-auxiliary_tree-derivation_tree-" 50
1:145 0.00139446 "machine_transliteration-transliteration_model-target_language-transliteration_pairs-english_chinese-" 66
1:146 0.00136224 "distant_supervision-relation_extraction-information_extraction-knowledge_base-oren_etzioni-" 70
1:147 0.0013571 "opinion_words-opinion_mining-opinion_target-opinion_expressions-opinion_targets-" 92
1:148 0.00134662 "relation_extraction-relation_types-relation_type-entity_mentions-parse_tree-" 14
1:149 0.00132448 "pitch_accent-text_speech-cue_phrases-prosodic_information-pitch_accents-" 184
1:150 0.00130175 "dialogue_act-dialogue_acts-multi_party-act_classification-dialog_act-" 266
1:151 0.00129839 "scientific_articles-acl_anthology-research_papers-scientific_papers-teufel_moens-" 168
1:152 0.00129048 "ill_formed-formed_input-ill_formedness-case_frame-meta_rules-" 219
1:153 0.00128178 "context_free-polynomial_time-context_sensitive-generative_capacity-rewriting_systems-" 181
1:154 0.00127229 "categorial_grammar-type_raising-categorial_grammars-dominance_constraints-semantic_head-" 45
1:155 0.00126676 "description_length-keyword_extraction-minimum_description-tree_cut-mdl_principle-" 192
1:156 0.00126537 "post_editing-quality_estimation-machine_translation-rbmt_rbmt-english_spanish-" 109
1:157 0.00126023 "tutorial_dialogue-student_answers-intelligent_tutoring-tutoring_system-spoken_dialogue-" 207
1:158 0.00125984 "mechanical_turk-amazon_mechanical-callison_burch-expert_annotations-quality_control-" 80
1:159 0.00125786 "lexical_functional-functional_grammar-structure_structure-grammatical_functions-lfg_grammar-" 287
1:160 0.00125529 "multi_modal-eye_gaze-pointing_gestures-speech_gesture-pointing_gesture-" 238
1:161 0.00125371 "information_extraction-enamex_type-scenario_template-system_muc-template_element-" 35
1:162 0.00124936 "referring_expressions-referring_expression-van_deemter-dale_reiter-expression_generation-" 48
1:163 0.00123987 "noun_compounds-noun_compound-semantic_relations-noun_noun-semantic_relation-" 285
1:164 0.00122287 "tense_aspect-reference_time-simple_past-past_tense-event_time-" 175
1:165 0.00121654 "tree_kernel-tree_kernels-kernel_function-kernel_methods-collins_duffy-" 77
1:166 0.00121635 "chinese_characters-kana_kanji-kanji_characters-input_method-character_set-" 117
1:167 0.00118432 "semantic_web-data_model-primary_data-linguistic_annotation-cultural_heritage-" 231
1:168 0.00114241 "word_types-word_type-unsupervised_pos-unsupervised_part-tag_dictionary-" 213
1:169 0.00113708 "grapheme_phoneme-phoneme_conversion-text_speech-letter_sound-letter_phoneme-" 226
1:170 0.00113569 "social_media-text_normalization-sms_messages-text_messages-media_text-" 228
1:171 0.00113332 "english_korean-korean_english-word_spacing-coling_nantes-proc_coling-" 126
1:172 0.00112778 "case_frame-case_frames-case_structure-case_slot-case_marker-" 99
1:173 0.00111039 "wsd_system-eneko_agirre-words_task-semeval_task-wsd_systems-" 62
1:174 0.00110802 "native_speakers-native_speech-essay_scoring-automated_scoring-human_raters-" 22
1:175 0.00110466 "male_female-twitter_users-social_media-gender_age-logistic_regression-" 102
1:176 0.00109359 "image_annotation-visual_features-computer_vision-visual_information-text_image-" 152
1:177 0.00106591 "brazilian_portuguese-cognate_pairs-cognate_sets-hash_function-historical_linguistics-" 120
1:178 0.00103092 "active_learning-sample_selection-uncertainty_sampling-random_selection-annotation_cost-" 298
1:179 0.00102301 "reading_times-reading_time-sentence_processing-eye_movements-eye_tracking-" 278
1:180 0.000995534 "ba_construction-language_processor-louis_tombe-oliviero_stock-transfer_event-" 140
1:181 0.000992767 "pos_tagging-word_segmentation-segmentation_pos-chinese_treebank-joint_model-" 274
1:182 0.000987232 "sentence_ordering-local_coherence-entity_grid-barzilay_lapata-barzilay_lee-" 24
1:183 0.000981894 "langkilde_geary-irene_langkilde-sentence_realization-langkilde_knight-kevin_knight-" 112
1:184 0.000959951 "lexical_functions-lexical_units-lexical_unit-lexical_function-lexical_rules-" 246
1:185 0.00094473 "grammar_induction-klein_manning-unsupervised_dependency-unsupervised_parsing-noah_smith-" 227
1:186 0.000941764 "textual_similarity-semantic_textual-text_similarity-semeval_task-sts_task-" 78
1:187 0.000937415 "reinforcement_learning-reward_function-user_simulation-state_space-state_action-" 251
1:188 0.000934055 "natural_science-feature_template-semantic_dependency-foundation_china-china_grant-" 124
1:189 0.00092595 "definite_descriptions-information_status-definite_description-massimo_poesio-bridging_descriptions-" 293
1:190 0.000922194 "native_language-german_english-language_identification-lexicon_models-bi_text-" 196
1:191 0.000916461 "system_combination-confusion_network-confusion_networks-hypothesis_alignment-translation_systems-" 171
1:192 0.0009131 "content_selection-surface_realization-concept_text-book_review-discourse_knowledge-" 289
1:193 0.000904995 "selectional_preferences-selectional_preference-source_domain-source_target-target_domain-" 11
1:194 0.000904007 "event_extraction-shared_task-bionlp_shared-event_type-event_types-" 161
1:195 0.000892344 "speech_act-speech_acts-private_state-indirect_speech-subjective_character-" 151
1:196 0.000869017 "writing_process-native_english-professional_writers-computer_tools-language_family-" 7
1:197 0.000854586 "regular_polysemy-relational_adjectives-gradable_adjectives-adjectives_nouns-adjective_pairs-" 211
1:198 0.000852609 "definition_sentences-taxonomy_induction-causal_relation-taxonomic_relations-part_relations-" 154
1:199 0.000838376 "facial_displays-nl_soar-data_analysis-data_driven-school_thought-" 270
1:200 0.000832445 "web_scale-gram_corpus-preposition_errors-preposition_error-google_gram-" 132
1:201 0.000830271 "empty_categories-empty_category-empty_nodes-structure_sharing-government_binding-" 21
1:202 0.000817817 "virtual_world-high_level-chen_mooney-give_challenge-virtual_environment-" 235
1:203 0.00081327 "lexical_substitution-word_pairs-word_meaning-relational_similarity-substitution_task-" 40
1:204 0.000796862 "centering_theory-discourse_entities-discourse_segment-local_coherence-backward_center-" 239
1:205 0.000795281 "word_prediction-keystroke_savings-feedback_text-word_completion-personal_data-" 156
1:206 0.000786978 "route_instructions-route_directions-route_description-fu_qs-map_task-" 250
1:207 0.000782827 "class_labels-class_label-query_logs-patrick_pantel-symmetric_patterns-" 101
1:208 0.000772547 "text_summarization-adnominal_verb-topic_signatures-full_text-query_biased-" 76
1:209 0.000766221 "topic_focus-information_structure-word_order-focus_articulation-valency_frames-" 268
1:210 0.000764047 "sign_language-adjective_noun-verb_object-construction_grammar-web_counts-" 221
1:211 0.000750011 "procedural_texts-conceptual_dependency-pattern_concept-episodic_memory-state_change-" 63
1:212 0.000736371 "code_switching-functional_expressions-code_switched-genre_classification-code_mixing-" 189
1:213 0.000733604 "vocal_tract-children_asd-language_impairment-signal_processing-speech_signal-" 215
1:214 0.000733208 "incremental_processing-incremental_speech-david_schlangen-incremental_dialogue-real_time-" 174
1:215 0.000699997 "verb_noun-subcategorization_preference-noun_collocation-subcategorization_frames-partial_subcategorization-" 94
1:216 0.000693276 "translation_units-ltag_spinal-translation_unit-bi_phrases-block_sequence-" 65
1:217 0.000674101 "feature_types-feature_type-stock_market-stock_price-financial_news-" 106
1:218 0.000671136 "speech_repairs-disfluency_detection-speech_repair-spontaneous_speech-switchboard_corpus-" 299
1:219 0.000667577 "agreement_disagreement-online_discussions-online_debates-stance_classification-congressional_floor-" 100
1:220 0.000665205 "normal_form-linear_logic-lambek_calculus-categorial_grammar-higher_order-" 176
1:221 0.000645239 "text_simplification-lexical_simplification-sentence_simplification-english_wikipedia-simple_english-" 93
1:222 0.000626459 "modality_negation-fine_grained-grained_focus-ct_ct-sd_level-" 128
1:223 0.000623889 "title_generation-taum_aviation-string_tree-lexical_units-implicit_spelling-" 141
1:224 0.000621319 "lexical_resources-multilingual_lexical-adnominal_constituents-semantic_map-lexical_databases-" 95
1:225 0.000619936 "picture_game-real_time-task_switching-ongoing_task-initiative_conflicts-" 229
1:226 0.000607877 "atn_grammar-african_languages-input_buffer-transition_network-atn_grammars-" 145
1:227 0.000606691 "tree_transducers-tree_transducer-regular_tree-tree_automata-weighted_tree-" 114
1:228 0.000582178 "qualia_structure-generative_lexicon-lexical_semantics-telic_role-james_pustejovsky-" 183
1:229 0.000576643 "chart_cells-high_precision-case_base-finite_state-chart_constraints-" 122
1:230 0.000575654 "information_sharing-icd_codes-place_names-proposed_belief-piece_evidence-" 283
1:231 0.000574666 "reading_comprehension-question_generation-signature_module-signature_modules-comprehension_questions-" 292
1:232 0.000572492 "decision_list-decision_lists-test_cases-elided_sentence-conversationally_relevant-" 223
1:233 0.000571305 "pu_learning-lasie_system-optimized_lattice-bullying_traces-world_model-" 279
1:234 0.000571108 "id_rules-id_lp-local_tree-lp_rules-id_rule-" 144
1:235 0.00056834 "vp_ellipsis-ellipsis_resolution-historical_texts-source_clause-strict_sloppy-" 186
1:236 0.000561224 "skip_chain-peer_review-review_helpfulness-multiple_choice-test_items-" 218
1:237 0.00055984 "default_unification-semantic_parsing-hybrid_tree-default_inheritance-semantic_parser-" 111
1:238 0.000559444 "natural_language-entailment_graph-entailment_graphs-world_knowledge-head_modifier-" 4
1:239 0.000558061 "sentence_reduction-local_histograms-adj_noun-deep_syntax-semi_automatic-" 69
1:240 0.000553909 "type_system-annotation_type-time_series-unstructured_information-dkpro_tc-" 277
1:241 0.000553514 "adn_classifier-dialogue_game-result_nominalizations-event_result-linguistic_input-" 96
1:242 0.000547781 "upper_model-layout_structure-domain_model-john_bateman-layout_unit-" 37
1:243 0.000544025 "character_string-shell_noun-shell_nouns-proper_names-critical_tokenization-" 202
1:244 0.000539083 "cross_lingual-lingual_textual-matteo_negri-yashar_mehdad-word_pairs-" 249
1:245 0.000535525 "function_labels-user_models-referential_links-jean_mark-mark_gawron-" 68
1:246 0.000533746 "literary_texts-short_answers-countable_uncountable-monotone_submodular-submodular_functions-" 187
1:247 0.000533548 "deception_detection-opinion_spam-deceptive_reviews-argument_components-argumentation_mining-" 89
1:248 0.000531571 "power_law-small_world-natural_logic-scale_free-degree_distribution-" 131
1:249 0.000526234 "genetic_programming-discourse_processor-discourse_particles-meaning_representation-time_series-" 64
1:250 0.000523664 "language_toolkit-nltk_natural-steven_bird-edward_loper-corpus_extracted-" 44
1:251 0.000522478 "systemic_grammar-system_network-systemic_functional-multi_task-system_networks-" 13
1:252 0.000517338 "score_function-asr_accuracy-learning_procedure-annotator_rationales-robust_learning-" 240
1:253 0.00051378 "thai_language-goi_taikei-thai_english-thai_word-conjunctive_structures-" 42
1:254 0.000513384 "dynamic_cache-ebmt_system-mix_domain-closed_class-line_mt-" 194
1:255 0.000508837 "abstract_syntax-classical_chinese-concrete_syntax-resource_grammar-grammatical_framework-" 179
1:256 0.000507651 "full_form-hyponymy_relations-hyponymy_relation-hypernym_hyponym-hypernym_candidate-" 234
1:257 0.000506663 "garden_path-path_sentences-syst_em-em_syst-star_free-" 56
1:258 0.000505675 "prosodic_features-patent_documents-patent_classification-patent_claims-patent_document-" 116
1:259 0.000504093 "mass_count-count_nouns-mass_nouns-relative_proximity-target_noun-" 29
1:260 0.000501325 "keyphrase_extraction-transduction_grammars-role_fillers-dekai_wu-semantic_frames-" 75
1:261 0.000499151 "encoder_decoder-semantic_change-linguistic_component-rnn_encoder-ontology_population-" 230
1:262 0.000497767 "light_verb-light_verbs-verb_constructions-complex_predicates-compound_verbs-" 193
1:263 0.000495395 "numerical_expressions-information_state-test_suite-numerical_expression-test_suites-" 172
1:264 0.000495 "cp_net-motion_capture-semantic_items-linked_data-surgical_deed-" 90
1:265 0.000493616 "substitution_ciphers-kevin_knight-ravi_knight-substitution_cipher-letter_substitution-" 26
1:266 0.000483929 "reference_answer-icd_cm-student_answer-data_records-record_linkage-" 0
1:267 0.000481359 "lexical_choice-translated_texts-personality_traits-texts_translated-fine_grained-" 113
1:268 0.000480371 "multimodal_grammar-humor_recognition-digital_museum-multimodal_understanding-meaning_representation-" 51
1:269 0.000480173 "pyramid_scores-model_summaries-js_divergence-spectral_learning-pyramid_method-" 255
1:270 0.000479778 "construction_grammar-information_distance-mental_spaces-ordered_pairs-cloze_items-" 6
1:271 0.000475627 "affect_states-affect_state-plot_unit-sequence_labeler-effect_effect-" 39
1:272 0.000472266 "long_form-business_class-user_model-mental_health-long_forms-" 81
1:273 0.000470685 "feature_norms-multi_modal-conjunctive_features-classification_problems-perceptual_information-" 15
1:274 0.000467126 "ll_ll-central_unit-lll_ll-ll_lll-text_specification-" 25
1:275 0.000463173 "link_grammar-fact_repository-text_meaning-ontological_semantics-property_list-" 182
1:276 0.000457242 "reg_type-grec_neg-word_string-string_accuracy-refex_refex-" 265
1:277 0.000449137 "plains_cree-bacteria_biotope-bb_task-quality_characteristics-ontobiotope_ontology-" 167
1:278 0.000447753 "clinical_question-logic_grammars-clinical_questions-demner_fushman-extraposition_list-" 108
1:279 0.000444986 "word_shape-suffix_array-croatian_serbian-bic_ici-suffix_arrays-" 61
1:280 0.000437869 "controlled_english-natural_languages-controlled_natural-controlled_language-contextual_grammars-" 85
1:281 0.000436881 "linguistic_indicators-aspectual_class-aspectual_classification-structured_annotation-video_lecture-" 159
1:282 0.000436683 "intended_message-information_graphics-line_graphs-bar_charts-line_graph-" 127
1:283 0.000435695 "anchor_words-linguistic_steganography-beigman_klebanov-social_status-hard_cases-" 72
1:284 0.000434706 "lexical_chooser-text_prediction-text_graphics-media_coordinator-content_planner-" 280
1:285 0.00042838 "word_expert-word_experts-quiz_bowl-parametric_types-cluster_id-" 258
1:286 0.000424427 "pseudo_word-pseudo_words-simple_phrases-hong_kong-btm_model-" 104
1:287 0.00042324 "double_array-time_granularity-ax_ay-ssu_cc-time_granularities-" 119
1:288 0.000423043 "metonymy_resolution-metonymy_recognition-markert_nissim-sense_tree-nissim_markert-" 27
1:289 0.000415531 "definition_questions-adverse_drug-vital_nuggets-peer_agent-demner_fushman-" 259
1:290 0.00040624 "surface_realisation-proof_nets-consonant_inventories-input_semantics-claire_gardent-" 281
1:291 0.0004011 "anaphor_resolution-binding_constraints-assisting_languages-binding_theory-assisting_language-" 169
1:292 0.000400309 "disorder_mentions-disorder_mention-strict_relaxed-speech_synthesis-document_authoring-" 34
1:293 0.000394774 "machine_translated-sample_risk-font_style-document_pairs-downward_entailing-" 115
1:294 0.00038489 "comparative_sentences-domain_actions-mental_state-comparison_set-identification_requests-" 98
1:295 0.000366308 "yahoo_answers-question_retrieval-community_question-row_row-gfbf_events-" 195
1:296 0.000343969 "english_vietnamese-speaker_description-query_url-reference_identification-washington_report-" 222
